year,ticket sold(1000),total gross(CNY),total gross (USD),# of screens,Avg. ticket price (CNY,Avg. ticket price (USD),# of new movies released,dollar_ppp,dollar_valuation,Population,Average Wage (Yuan),Average Wage (USD)
2012,"463,260.00","16,563,400,000",4575524862,"13,118",36,9.94,394,3.62,-43.39,1350695000,46769,12920
2013,"614,240.00","21,474,030,000",6117957265,"18,195",35,9.97,345,3.51,-42.76,1357380000,51483,14668
2014,"834,310.00","29,430,420,000",8360914773,"23,592",35,9.94,389,3.52,-43.14,1364270000,56360,16011
2015,"1,260,890.00","43,880,450,000",12360690141,"31,627",35,9.86,522,3.55,-42.84,1371220000,62029,17473
2016,"1,373,630.00","45,520,440,000",12302821622,"41,056",33,8.92,531,3.7,-44.7,1378665000,67569,18262
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
